index,V5,V11,V12,V13,V14,V22,V25,V27,Class
777025,66,1632,1,0,100,1.8195,0.4167,0.1892,0
322452,70,1632,1,0,100,1.8451,0.1818,0.2051,0
759433,382,1632,1,0,100,2.5821,0.85,0.8299,0
856183,110,1630,1,0,100,2.0414,0.6,0.2792,0
297347,51,1654,1,0,100,1.7076,0.5385,0.1832,0
673382,63,1656,1,0,100,1.7993,0.4286,0.2195,0
142963,56,1656,1,0,100,1.7482,0.1111,0.1773,0
181180,89,1658,1,0,100,1.9494,0.1539,0.257,0
918055,190,1648,1,0,100,2.2787,0.6786,0.417,0
832491,81,1656,1,0,100,1.9085,0.6,0.2792,0
235171,63,1694,1,0,211,1.7993,0.6667,0.215,0
905910,60,1694,1,0,211,1.7781,0.3333,0.2018,0
625540,30,1692,1,0,143,1.4771,-0.1429,0.1499,0
698847,209,1692,1,0,143,2.3201,0.7097,0.4613,0
739308,156,1352,1,0,80,2.1931,0.6087,0.3464,0
471631,2643,1400,0,1,40,3.4221,0.9431,1.0,0
524717,2145,1380,0,1,40,3.3314,0.9096,1.0,0
619409,1421,1666,0,1,40,3.1526,0.8434,1.0,0
322375,103,1666,0,1,40,2.0128,0.5294,0.2482,0
351181,40,1364,0,1,60,1.6021,-0.125,0.1622,0
215978,10914,1362,0,1,60,4.038,0.9481,1.0,0
579957,135,1360,0,1,200,2.1303,0.25,0.3241,0
965623,114,1392,0,1,220,2.0569,0.4375,0.2583,0
765854,82,1392,0,1,220,1.9138,0.65,0.2532,0
305764,275,1362,0,1,40,2.4393,0.625,0.633,0
546679,289,1364,0,1,40,2.4609,0.6944,0.6514,0
80701,313,1364,0,1,40,2.4955,0.6154,0.8682,0
112184,437,1364,0,1,40,2.6405,0.75,0.9236,0
231789,759,1362,0,1,40,2.8802,0.7536,0.997,0
90704,677,1360,0,1,40,2.8306,0.8059999999999999,0.9779,0
453205,211,1364,0,1,100,2.3243,0.4091,0.4729,0
443808,52,1366,0,1,100,1.716,-0.2222,0.1687,0
321168,261,1358,0,1,40,2.4166,0.5517,0.6221,0
869217,135,1690,0,1,70,2.1303,0.6923,0.3479,0
167012,181,1690,0,1,70,2.2577,0.8372,0.4979,0
205825,109,1694,0,1,70,2.0374,0.5789,0.2686,0
480917,102,1692,0,1,70,2.0086,0.5,0.2384,0
489570,51,1692,0,1,70,1.7076,0.4167,0.1892,0
860770,134,1690,0,1,70,2.1271,0.5238,0.3509,0
107668,266,1626,0,1,120,2.4249,0.5,0.6453,0
377661,970,1362,0,1,175,2.9868,0.8835,0.998,0
340383,515,1632,0,1,125,2.7118,0.7719,0.9491,0
502877,116,1634,0,1,125,2.0645,0.3333,0.266,0
227501,2490,1634,0,1,125,3.3962,0.8934,1.0,0
540112,251,1632,0,1,125,2.3997,0.5357,0.6015,0
737115,165,1626,0,1,125,2.2175,0.5,0.4763,0
820108,112,1358,0,1,40,2.0492,0.4706,0.2699,0
280892,208,1350,0,1,50,2.3181,0.6563,0.5822,0
215036,337,1354,0,1,50,2.5276,0.6286,0.7347,0
740052,167,1698,0,1,90,2.2227,0.6786,0.417,0
425972,200,1696,0,1,90,2.301,0.7188,0.4763,0
256042,359,1696,0,1,90,2.5551,0.9286,0.7933,0
492855,349,1698,0,1,90,2.5428,0.9,0.7776,0
363323,140,1698,0,1,90,2.1461,0.7667,0.3509,0
867320,379,1700,0,1,90,2.5786,0.7333,0.8299,0
143058,121,1698,0,1,90,2.0828,0.55,0.3068,0
129411,762,1698,0,1,90,2.8819,0.8235,0.9985,0
563626,861,1696,0,1,90,2.935,0.8571,0.9992,0
153454,335,1696,0,1,90,2.525,0.6667,0.8705,0
563533,242,1698,0,1,90,2.3838,0.6667,0.5999,0
871429,264,1696,0,1,90,2.4216,0.6,0.5951,0
478583,134,1694,0,1,90,2.1271,0.7037,0.3601,0
636449,372,1696,0,1,90,2.5705,0.8261,0.9708,0
591299,794,1696,0,1,90,2.8998,0.8161,0.9993,0
384828,227,1698,0,1,90,2.356,0.625,0.633,0
965286,927,1698,0,1,90,2.9671,0.8529,0.9997,0
464838,227,1698,0,1,90,2.356,0.7097,0.4613,0
929102,271,1700,0,1,90,2.4330000000000003,0.7954,0.6514,0
825615,771,1698,0,1,90,2.887,0.7977,0.9998,0
595397,471,1698,0,1,90,2.673,0.7593,0.9349,0
253066,285,1698,0,1,90,2.4548,0.5313,0.7659,0
72841,120,1688,1,0,70,2.0792,0.6522,0.3125,0
86152,4686,1688,1,0,70,3.6708,0.9578,1.0,0
966485,70,1356,0,1,40,1.8451,0.7222,0.1954,0
147761,180,1362,0,1,40,2.2553,0.6539,0.3882,0
966946,170,1698,0,1,60,2.2304,0.5217,0.4187,0
387907,83,1696,0,1,60,1.9191,0.7,0.2288,0
19199,2705,1364,1,0,80,3.4322,0.9607,1.0,0
932020,177,1360,1,0,100,2.248,0.9,0.4138,0
127771,221,1358,0,1,40,2.3444,0.6452,0.5642,0
739171,109,1358,0,1,40,2.0374,0.5556,0.2583,0
10422,104,1362,0,1,40,2.017,0.2857,0.2532,0
670235,3319,1360,0,1,40,3.5210000000000004,0.9552,1.0,0
622239,501,1358,0,1,40,2.6998,0.7547,0.9294,0
7214,291,1358,0,1,40,2.4639,0.6061,0.6995,0
277831,444,1360,0,1,40,2.6474,0.8197,0.9212,0
446106,258,1360,0,1,40,2.4116,0.6129,0.6142,0
295926,168,1360,1,0,70,2.2253,0.7143,0.3725,0
996815,136,1358,1,0,70,2.1335,0.4737,0.3212,0
152950,119,1358,1,0,70,2.0756,0.6539,0.3882,0
152459,257,1356,1,0,70,2.4099,0.7059,0.5626,0
405286,265,1358,1,0,70,2.4232,0.8364,0.7833,0
756005,105,1358,1,0,70,2.0212,0.6667,0.3241,0
807793,154,1358,1,0,70,2.1875,0.5909,0.3329,0
245709,145,1358,1,0,70,2.1614,0.5714,0.3197,0
54937,123,1708,1,0,100,2.0899,-0.2632,0.4399,0
386718,56,1354,1,0,70,1.7482,-0.5,0.1773,0
52228,226,1354,1,0,70,2.3541,0.36,0.6574,0
336738,436,1354,1,0,70,2.6395,0.7857,0.9216,0
358337,84,1354,1,0,70,1.9243,-0.0833,0.2432,0
542686,63,1354,1,0,70,1.7993,-0.1429,0.2901,0
246414,1590,1354,1,0,70,3.2014,0.8757,1.0,0
633768,2267,1354,1,0,70,3.3554,0.7192,1.0,0
53435,521,1354,1,0,70,2.7168,0.2391,0.9998,0
75199,395,1356,1,0,70,2.5966,0.7636,0.94,0
327274,353,1352,1,0,70,2.5478,0.66,0.9747,0
581686,205,1354,1,0,70,2.3117,0.6571,0.6868,0
934372,135,1356,1,0,70,2.1303,0.45,0.3663,0
363551,294,1356,1,0,70,2.4683,0.7143,0.7933,0
707779,71,1356,1,0,70,1.8513,0.3846,0.2105,0
277956,56,1354,1,0,70,1.7482,0.6667,0.215,0
405658,54,1354,1,0,70,1.7324,0.3571,0.2359,0
110714,400,1356,1,0,70,2.6021,0.4412,0.9082,0
302166,82,1358,1,0,70,1.9138,0.5556,0.2583,0
316863,69,1358,1,0,70,1.8389,0.2857,0.2532,0
973512,114,1354,1,0,70,2.0569,-0.4,0.3977,0
33451,158,1354,1,0,70,2.1987,0.1579,0.5029,0
973164,57,1354,1,0,70,1.7559,0.0,0.2583,0
611137,74,1356,1,0,70,1.8692,0.1818,0.2051,0
254135,75,1356,1,0,70,1.8751,-0.1429,0.2901,0
339386,787,1356,1,0,70,2.8960000000000004,0.7471,1.0,0
67738,5027,1358,1,0,70,3.7013,0.1177,1.0,0
294018,353,1356,1,0,70,2.5478,0.2813,0.9474,0
42759,59,1354,1,0,70,1.7708,0.3333,0.2018,0
527450,74,1354,1,0,70,1.8692,-0.0769,0.2739,0
869804,55,1356,1,0,70,1.7404,-0.4167,0.1892,0
587569,397,1354,1,0,70,2.5988,0.7170000000000001,0.9639,0
880225,123,1356,1,0,70,2.0899,-0.4211,0.3494,0
980646,78,1356,1,0,70,1.8921,0.0,0.23,0
749354,63,1356,1,0,70,1.7993,0.6471,0.2083,0
173214,170,1356,1,0,70,2.2304,0.4583,0.5162,0
212396,124,1352,1,0,70,2.0934,0.4,0.3977,0
554160,884,1356,1,0,70,2.9464,0.6812,0.9997,0
960302,139,1356,1,0,70,2.143,0.6296,0.4465,0
195078,444,1358,1,0,70,2.6474,0.64,0.9818,0
210843,112,1356,1,0,70,2.0492,0.0625,0.3977,0
786321,71,1358,1,0,70,1.8513,-0.1818,0.2051,0
188359,77,1356,1,0,70,1.8865,0.65,0.2532,0
834785,812,1358,1,0,70,2.9096,0.8833,0.9999,0
41184,2904,1358,1,0,70,3.463,0.8431,1.0,0
393839,964,1356,1,0,70,2.9841,0.7708,1.0,0
414511,521,1358,1,0,70,2.7168,0.6406,0.9996,0
149871,938,1356,1,0,70,2.9722,0.5467,1.0,0
530198,4315,1354,1,0,70,3.635,0.6546,1.0,0
455257,995,1354,1,0,70,2.9978,0.7386,1.0,0
706736,585,1352,1,0,70,2.7672,0.6078,0.9917,0
368796,7292,1352,1,0,70,3.8628,0.9054,1.0,0
418665,1014,1356,1,0,70,3.006,0.7159,1.0,0
771658,1784,1354,1,0,70,3.2514,0.6559,1.0,0
430530,573,1354,1,0,70,2.7582,0.6491,0.9963,0
456516,2875,1352,1,0,70,3.4586,0.7068,1.0,0
706583,2483,1354,1,0,70,3.395,0.7661,1.0,0
798077,709,1352,1,0,70,2.8507,0.2439,0.9984,0
408871,1148,1354,1,0,70,3.0599,0.7647,0.9999,0
522997,3811,1358,1,0,70,3.5810000000000004,0.754,1.0,0
14414,613,1356,1,0,70,2.7875,0.4348,0.9974,0
900580,540,1354,1,0,70,2.7324,0.8116,0.9814,0
232453,694,1354,1,0,70,2.8414,0.3529,0.9999,0
154894,67,1352,1,0,70,1.8261,0.1667,0.2288,0
599866,1348,1356,1,0,70,3.1297,0.7423,1.0,0
603619,265,1356,1,0,70,2.4232,0.5143,0.8756,0
761483,138,1356,1,0,70,2.1399,-0.1765,0.3945,0
827048,109,1356,1,0,70,2.0374,0.4091,0.4729,0
971080,74,1354,1,0,70,1.8692,0.65,0.2532,0
893406,7579,1356,1,0,70,3.8796,0.6667,1.0,0
777501,184,1354,1,0,70,2.2648,-0.2105,0.4713,0
837137,252,1356,1,0,70,2.4014,0.3571,0.7933,0
445718,62,1354,1,0,70,1.7924,0.2857,0.2532,0
512694,60,1354,1,0,70,1.7781,-0.4615,0.1965,0
700362,55,1354,1,0,70,1.7404,0.0,0.2061,0
151324,241,1356,1,0,70,2.382,-0.24,0.7598,0
386292,54,1354,1,0,70,1.7324,-0.4615,0.1965,0
779326,128,1356,1,0,70,2.1072,0.7241,0.385,0
418695,51,1358,1,0,70,1.7076,0.5714,0.1892,0
598720,61,1354,1,0,70,1.7853,0.5,0.204,0
499467,780,1356,1,0,70,2.8921,0.6567,0.9997,0
635015,493,1354,1,0,70,2.6929,0.2941,0.9685,0
934797,65,1358,1,0,70,1.8129,0.1818,0.2051,0
569543,138,1358,1,0,70,2.1399,0.2632,0.4399,0
52558,85,1358,1,0,70,1.9294,-0.1875,0.3479,0
841373,59,1356,1,0,70,1.7708,0.625,0.2018,0
898982,222,1358,1,0,70,2.3463,0.5,0.6453,0
823174,73,1356,1,0,70,1.8633,-0.5,0.2384,0
212963,286,1356,1,0,70,2.4564,-0.2647,0.9747,0
528211,390,1358,1,0,70,2.5911,0.5833,0.8299,0
367302,52,1358,1,0,70,1.716,0.0,0.23,0
924471,98,1360,1,0,70,1.9912,0.2143,0.2712,0
708975,61,1358,1,0,70,1.7853,-0.0909,0.2173,0
470351,75,1358,1,0,70,1.8751,0.2143,0.2712,0
595232,705,1358,1,0,70,2.8482,0.7027,0.9998,0
365208,196,1360,1,0,70,2.2923,-0.3793,0.8123,0
449635,64,1356,1,0,70,1.8062,-0.0833,0.2432,0
465063,130,1358,1,0,70,2.1139,0.4091,0.4729,0
87423,215,1356,1,0,70,2.3324,0.1905,0.5903,0
562618,178,1356,1,0,70,2.2504,0.6071,0.5096,0
404758,155,1356,1,0,70,2.1903,0.6296,0.4465,0
986464,1030,1354,1,0,70,3.0128,0.8132,0.9998,0
346877,140,1356,1,0,70,2.1461,0.0476,0.6868,0
280914,1470,1356,1,0,70,3.1673,0.4865,1.0,0
656215,69,1356,1,0,70,1.8389,-0.1429,0.2901,0
657775,231,1356,1,0,70,2.3636,-0.05,0.6268,0
512472,169,1356,1,0,70,2.2279,0.0,0.7161,0
277942,445,1354,1,0,70,2.6484,0.6274,0.9884,0
263282,245,1354,1,0,70,2.3892,0.4444,0.6648,0
70219,99,1358,1,0,70,1.9956,-0.1429,0.2901,0
988813,55,1358,1,0,70,1.7404,0.4375,0.2583,0
327185,873,1358,1,0,70,2.9410000000000003,-0.375,1.0,0
755845,64,1356,1,0,70,1.8062,0.1667,0.2288,0
227624,60,1360,1,0,70,1.7781,-0.2308,0.2408,0
357068,120,1356,1,0,70,2.0792,-0.5769,0.4729,0
224360,314,1356,1,0,70,2.4969,0.0,0.9979,0
551943,61,1356,1,0,70,1.7853,-0.2143,0.2712,0
856410,253,1356,1,0,70,2.4031,-0.5,0.6453,0
838199,509,1358,1,0,70,2.7067,-0.0938,0.9848,0
541211,170,1356,1,0,70,2.2304,0.35,0.43,0
296336,78,1356,1,0,70,1.8921,-0.7273,0.2432,0
319875,77,1356,1,0,70,1.8865,0.2308,0.2408,0
349924,83,1356,1,0,70,1.9191,-0.2667,0.286,0
572224,61,1356,1,0,70,1.7853,-0.1,0.1954,0
89247,80,1356,1,0,70,1.9031,0.4118,0.2928,0
35887,51,1356,1,0,70,1.7076,0.0,0.2061,0
869215,58,1356,1,0,70,1.7634,-0.7619,0.2116,0
146561,58,1356,1,0,70,1.7634,0.0909,0.2173,0
172335,130,1356,1,0,70,2.1139,-0.3158,0.4089,0
74106,117,1356,1,0,70,2.0682,-0.2,0.3068,0
335630,490,1354,1,0,70,2.6902,0.6279,0.929,0
784857,318,1354,1,0,70,2.5024,0.3667,0.8563,0
441201,185,1354,1,0,70,2.2672,0.1905,0.5903,0
857491,59,1354,1,0,70,1.7708,-0.0909,0.2173,0
88102,119,1352,1,0,70,2.0756,0.3333,0.3601,0
99706,66,1356,1,0,70,1.8195,0.1818,0.2051,0
651879,268,1356,1,0,70,2.4281,0.3043,0.6079,0
860264,99,1354,1,0,70,1.9956,-0.4118,0.2928,0
895968,197,1354,1,0,70,2.2945,0.4815,0.6236,0
336069,91,1358,1,0,70,1.959,0.4286,0.2195,0
297421,142,1354,1,0,70,2.1523,0.5556,0.5362,0
648818,60,1356,1,0,70,1.7781,0.1818,0.2051,0
842577,60,1354,1,0,70,1.7781,0.3077,0.2253,0
245105,149,1354,1,0,70,2.1732,-0.6,0.4138,0
692946,103,1356,1,0,70,2.0128,0.0,0.2914,0
591119,93,1356,1,0,70,1.9685,0.25,0.3241,0
569685,115,1356,1,0,70,2.0607,-0.2941,0.3419,0
283374,1203,1354,1,0,70,3.0803,0.764,1.0,0
138482,109,1356,1,0,70,2.0374,0.5,0.3359,0
713539,1371,1356,1,0,70,3.137,0.8671,1.0,0
321467,88,1354,1,0,70,1.9445,0.4667,0.2288,0
926935,566,1356,1,0,70,2.7528,0.6557,0.9985,0
327347,97,1358,1,0,70,1.9868,0.2353,0.3678,0
740860,145,1356,1,0,70,2.1614,0.625,0.3601,0
306932,205,1354,1,0,70,2.3117,0.3,0.4629999999999999,0
890475,60,1358,1,0,70,1.7781,0.1,0.1954,0
172559,173,1356,1,0,70,2.238,0.3636,0.5096,0
507550,71,1356,1,0,70,1.8513,-0.4375,0.2583,0
98039,578,1356,1,0,70,2.7619,0.4167,0.999,0
878343,53,1354,1,0,70,1.7243,-0.1,0.1954,0
614959,153,1352,1,0,70,2.1847,0.381,0.4514,0
700614,78,1352,1,0,70,1.8921,-0.375,0.2792,0
249650,94,1354,1,0,70,1.9731,-0.2941,0.3419,0
491775,376,1352,1,0,70,2.5752,0.6342,0.8894,0
972506,111,1356,1,0,70,2.0453,-0.25,0.3241,0
920567,1543,1352,1,0,70,3.1884,0.7813,1.0,0
815820,192,1354,1,0,70,2.2833,0.75,0.5362,0
258828,76,1354,1,0,70,1.8808,0.1667,0.2288,0
505716,199,1352,1,0,70,2.2989,0.3913,0.5329,0
109320,71,1350,1,0,70,1.8513,0.4615,0.1965,0
565573,69,1348,1,0,70,1.8389,0.6471,0.2083,0
782483,52,1358,1,0,100,1.716,0.4167,0.1892,0
724564,339,1360,0,1,40,2.5302,-0.16,0.8153,0
79727,155,1362,0,1,40,2.1903,-0.25,0.4963,0
150878,618,1362,0,1,40,2.7910000000000004,-0.6038,0.9955,0
400435,142,1362,0,1,40,2.1523,-0.3684,0.3787,0
455727,508,1362,0,1,40,2.7059,-0.4038,0.9998,0
258116,158,1362,0,1,40,2.1987,-0.2381,0.556,0
113365,156,1360,0,1,40,2.1931,-0.6,0.5951,0
321937,312,1360,0,1,40,2.4941,-0.4694,0.9985,0
332179,180,1362,0,1,175,2.2553,0.5769,0.4729,0
448837,147,1362,0,1,175,2.1673,0.7333,0.3977,0
478929,1733,1362,0,1,175,3.2388,0.9388,1.0,0
131352,120,1362,0,1,175,2.0792,0.8158,0.4399,0
452507,1804,1360,0,1,175,3.2562,0.9039,1.0,0
173233,124,1364,0,1,175,2.0934,0.5,0.3359,0
137442,119,1364,0,1,175,2.0756,0.3158,0.4089,0
231413,130,1360,0,1,175,2.1139,0.64,0.374,0
317280,3883,1362,0,1,175,3.5892,0.8968,1.0,0
716316,295,1364,0,1,175,2.4698,0.8036,0.8901,0
692933,72,1387,0,1,40,1.8573,0.0909,0.2173,0
12053,66,1387,0,1,40,1.8195,0.2727,0.1934,0
288775,61,1387,0,1,40,1.7853,0.25,0.215,0
579769,75,1387,0,1,40,1.8751,0.2727,0.1934,0
42083,443,1387,0,1,40,2.6464,0.7288,0.9863,0
500332,76,1387,0,1,40,1.8808,-0.1,0.1954,0
644344,150,1387,0,1,40,2.1761,0.1333,0.3285,0
475998,892,1387,0,1,40,2.9504,0.8137,1.0,0
560116,74,1387,0,1,40,1.8692,-0.4,0.2469,0
187983,136,1387,0,1,40,2.1335,-0.3889,0.3329,0
705634,108,1387,0,1,40,2.0334,0.0,0.2914,0
351060,74,1387,0,1,40,1.8692,0.3333,0.2018,0
228666,52,1387,0,1,40,1.716,0.2,0.1852,0
313427,69,1387,0,1,40,1.8389,0.2727,0.1934,0
739790,60,1387,0,1,40,1.7781,0.5,0.204,0
386533,68,1387,0,1,40,1.8325,0.3636,0.1822,0
428222,70,1387,0,1,40,1.8451,0.1111,0.1773,0
542347,504,1387,0,1,40,2.7024,0.1111,0.9093,0
56837,140,1387,0,1,40,2.1461,0.2,0.3068,0
136449,108,1387,0,1,40,2.0334,0.1539,0.257,0
589445,96,1387,0,1,40,1.9823,0.3077,0.2253,0
418242,81,1387,0,1,40,1.9085,0.0,0.2061,0
209896,85,1387,0,1,40,1.9294,-0.0909,0.2173,0
7499,57,1387,0,1,40,1.7559,0.1111,0.1773,0
212246,75,1387,0,1,40,1.8751,0.1818,0.2051,0
402787,88,1387,0,1,40,1.9445,-0.0909,0.2173,0
482435,88,1387,0,1,40,1.9445,0.25,0.215,0
343310,52,1387,0,1,40,1.716,0.3,0.1753,0
50852,52,1387,0,1,40,1.716,0.4545,0.1715,0
690341,65,1387,0,1,40,1.8129,0.1111,0.1773,0
295670,63,1387,0,1,40,1.7993,0.1818,0.2051,0
651798,101,1387,0,1,40,2.0043,0.0909,0.2173,0
149907,92,1387,0,1,40,1.9638,0.0833,0.2432,0
678921,53,1387,0,1,40,1.7243,0.0,0.1696,0
95612,2358,1387,0,1,40,3.3725,0.1159,1.0,0
949403,2108,1387,0,1,40,3.3239,-0.4384,1.0,0
650901,227,1373,0,1,40,2.356,0.2222,0.417,0
676260,231,1373,0,1,40,2.3636,0.0,0.4779,0
648420,194,1373,0,1,40,2.2878,0.1177,0.4219,0
919620,247,1373,0,1,40,2.3927,0.2857,0.5212,0
443237,175,1373,0,1,40,2.2430000000000003,0.3158,0.4089,0
363025,566,1387,0,1,40,2.7528,0.6042,0.9831,0
416140,655,1687,1,0,80,2.8162,0.2941,0.9685,0
687810,152655,1336,0,1,40,5.1837,0.9917,1.0,0
777426,25323,1400,0,1,40,4.4035,-0.0913,1.0,0
189103,21110,1402,0,1,40,4.3245,-0.0773,1.0,0
471115,25473,1400,0,1,40,4.4061,-0.0711,1.0,0
75615,24365,1404,0,1,40,4.3868,-0.4633,1.0,0
499558,20894,1398,0,1,40,4.32,-0.1161,1.0,0
337794,20726,1402,0,1,40,4.3165,-0.7548,1.0,0
483747,22554,1400,0,1,40,4.3532,0.0045,1.0,0
980449,21987,1398,0,1,40,4.3422,-0.0762,1.0,0
428374,21036,1402,0,1,40,4.323,-0.4297,1.0,0
848284,16759,1402,0,1,40,4.2242,0.038,1.0,0
794705,17977,1402,0,1,40,4.2547,0.0718,1.0,0
744280,19629,1400,0,1,40,4.2929,-0.7406,1.0,0
974725,17887,1400,0,1,40,4.2525,0.1171,1.0,0
883537,18517,1398,0,1,40,4.2676,0.0088,1.0,0
91127,17825,1400,0,1,40,4.251,0.1636,1.0,0
415862,16686,1402,0,1,40,4.2224,-0.5373,1.0,0
427016,16521,1400,0,1,40,4.218,-0.7108,1.0,0
694371,17706,1404,0,1,40,4.2481,0.1191,1.0,0
127145,18071,1400,0,1,40,4.257,0.0361,1.0,0
691260,18908,1402,0,1,40,4.2766,0.1379,1.0,0
175100,18896,1404,0,1,40,4.2764,-0.0374,1.0,0
802322,20313,1400,0,1,40,4.3078,-0.0105,1.0,0
723781,18203,1398,0,1,40,4.2601,0.085,1.0,0
773955,17357,1400,0,1,40,4.2395,0.2064,1.0,0
323846,18954,1400,0,1,40,4.2777,0.0556,1.0,0
475310,14949,1400,0,1,40,4.1746,-0.1921,1.0,0
631723,16469,1398,0,1,40,4.2167,-0.7938,1.0,0
662770,17810,1398,0,1,40,4.2507,0.0461,1.0,0
435579,100,1398,0,1,40,2.0,-0.4211,0.3494,0
775825,354,1400,0,1,40,2.549,0.1379,0.9437,0
971817,16821,1398,0,1,40,4.2259,-0.1732,1.0,0
366714,15937,1398,0,1,40,4.2024,-0.1676,1.0,0
500063,15896,1400,0,1,40,4.2013,-0.0442,1.0,0
326392,128,1400,0,1,40,2.1072,-0.1765,0.3945,0
355811,16220,1400,0,1,40,4.2101,-0.0553,1.0,0
374672,14963,1398,0,1,40,4.175,-0.0229,1.0,0
941747,15050,1400,0,1,40,4.1775,0.0168,1.0,0
600558,13033,1398,0,1,40,4.115,-0.0857,1.0,0
833599,16968,1400,0,1,40,4.2296,-0.0517,1.0,0
870449,16584,1398,0,1,40,4.2197,0.0794,1.0,0
257961,14969,1400,0,1,40,4.1752,0.0116,1.0,0
856211,13601,1400,0,1,40,4.1336,0.054,1.0,0
26026,13387,1398,0,1,40,4.1267,-0.1329,1.0,0
149217,16164,1400,0,1,40,4.2085,0.1238,1.0,0
332873,935,1398,0,1,40,2.9708,0.3137,0.9999,0
212976,15601,1400,0,1,40,4.1932,-0.0449,1.0,0
525672,11348,1400,0,1,40,4.0549,-0.2333,1.0,0
621525,15414,1400,0,1,40,4.1879,0.0642,1.0,0
581552,13975,1400,0,1,40,4.1453,-0.0058,1.0,0
313316,11388,1398,0,1,40,4.0564,-0.591,1.0,0
478002,13553,1400,0,1,40,4.132,-0.0686,1.0,0
122957,15704,1396,0,1,40,4.196000000000001,-0.0055,1.0,0
135065,12012,1398,0,1,40,4.0796,-0.0058,1.0,0
694487,11875,1398,0,1,40,4.0746,-0.0058,1.0,0
956138,11271,1402,0,1,40,4.052,-0.0409,1.0,0
254058,12212,1402,0,1,40,4.0868,-0.1129,1.0,0
450597,539,1402,0,1,40,2.7316,0.0938,0.9848,0
91001,677,1400,0,1,40,2.8306,0.0571,0.9966,0
